Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_OnlyAllowDamageToAIIfPlayerHasPvEStatusTitle,"Allow Players to damage AI, if Player has PvE Status","Allow Players to damage AI, if Player has PvE Status","Allow Players to damage AI, if Player has PvE Status","Allow Players to damage AI, if Player has PvE Status","Игрок может наносить урон AI только при активном статусе PvE","Gracz może zadawać obrażenia AI tylko przy aktywnym statusie PvE","Allow Players to damage AI, if Player has PvE Status","Allow Players to damage AI, if Player has PvE Status","Allow Players to damage AI, if Player has PvE Status","Permettre aux joueurs d'endommager l'IA si le joueur à un statut PvE","如果玩家处于PvE状态，允许玩家伤害AI","Allow Players to damage AI, if Player has PvE Status","Allow Players to damage AI, if Player has PvE Status","如果玩家处于PvE状态，允许玩家伤害AI",
STR_OnlyAllowAIToDamageInRaidModeTitle,"Allow AI to damage Player, if Player has Raid Mode status","Allow AI to damage Player, if Player has Raid Mode status","Allow AI to damage Player, if Player has Raid Mode status","Allow AI to damage Player, if Player has Raid Mode status","Игрок может получать урон от AI только в рейдовом режиме","Gracz może otrzymywać obrażenia od AI tylko w trybie RAID","Allow AI to damage Player, if Player has Raid Mode status","Allow AI to damage Player, if Player has Raid Mode status","Allow AI to damage Player, if Player has Raid Mode status","Permettre à l'IA d'endommager le joueur si celui-ci est en mode Raid","如果玩家处于突袭模式，允许AI伤害玩家","Allow AI to damage Player, if Player has Raid Mode status","Allow AI to damage Player, if Player has Raid Mode status","如果玩家处于突袭模式，允许AI伤害玩家",
STR_OnlyAllowPlayersToDamageAIInRaidModeTitle,"Allow Players to damage A,I if Player is in Raid Mode status","Allow Players to damage A,I if Player is in Raid Mode status","Allow Players to damage A,I if Player is in Raid Mode status","Allow Players to damage A,I if Player is in Raid Mode status","Игрок может наносить урон AI только в рейдовом режиме","Gracz może zadawać obrażenia AI tylko w trybie RAID","Allow Players to damage A,I if Player is in Raid Mode status","Allow Players to damage A,I if Player is in Raid Mode status","Allow Players to damage A,I if Player is in Raid Mode status","Permettre aux joueurs d'endommager l'IA s'ils sont en mode raid","如果玩家处于突袭模式，允许玩家伤害AI","Allow Players to damage A,I if Player is in Raid Mode status","Allow Players to damage A,I if Player is in Raid Mode status","如果玩家处于突袭模式，允许玩家伤害AI",
STR_ExpansionAITitle1,"== Expansion AI  - Player to AI Damage Rules==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI – механика урона от игрока по AI ==","== Expansion AI mechanika obrażeń od gracza dla AI ==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI – Règles de dommages des joueurs à l'AI ==","== Expansion AI  - 玩家对AI伤害规则==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI  - Player to AI Damage Rules==","== Expansion AI  - 玩家对AI伤害规则==",
STR_ExpansionAITitle0,"== Expansion AI  - AI to Players Damage Rules==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI – механика урона AI по игрокам ==","== Expansion AI – mechanika obrażeń od AI dla graczy ==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI – Règles de dommages de l’AI aux joueurs ==","== Expansion AI  - AI对玩家的伤害规则==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI  - AI to Players Damage Rules==","== Expansion AI  - AI对玩家的伤害规则==",
STR_btnGeneralApply4,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","保存应用","Save and Reload","Save and Reload","保存应用",
STR_IconSettingsTitle,"== Icon Settings ==","== Icon Settings ==","== Icon Settings ==","== Icon Settings ==","== Настройки значков ==","== Ustawienia ikon ==","== Icon Settings ==","== Icon Settings ==","== Icon Settings ==","== Paramètres des icônes ==","== 图标设置 ==","== Icon Settings ==","== Icon Settings ==","== 图标设置 ==",
STR_PvEImagePathTitle,"PvE Image Path","PvE Image Path","PvE Image Path","PvE Image Path","Путь к иконке PvE","Ścieżka do ikony PvE","PvE Image Path","PvE Image Path","PvE Image Path","Chemin d'image PvE","PvE图标路径","PvE Image Path","PvE Image Path","PvE图标路径",
STR_PvPImagePathTitle,"PvP Image Path","PvP Image Path","PvP Image Path","PvP Image Path","Путь к иконке PvP","Ścieżka do ikony PvP","PvP Image Path","PvP Image Path","PvP Image Path","Chemin d'image PvP","PvP图标路径","PvP Image Path","PvP Image Path","PvP图标路径",
STR_RaidImagePathTitle,"Raid Image Path","Raid Image Path","Raid Image Path","Raid Image Path","Путь к иконке Рейд","Ścieżka do ikony RAID","Raid Image Path","Raid Image Path","Raid Image Path","Chemin d'image Raid","突袭图标路径","Raid Image Path","Raid Image Path","突袭图标路径",
STR_IconPositionXTitle,"IconPositionX","IconPositionX","IconPositionX","IconPositionX","Позиция значка по X","Pozycja ikony na osi X","IconPositionX","IconPositionX","IconPositionX","Position de l'icône X","图标位置X","IconPositionX","IconPositionX","图标位置X",
STR_IconPositionYTitle,"IconPositionY","IconPositionY","IconPositionY","IconPositionY","Позиция значка по Y","Pozycja ikony na osi Y","IconPositionY","IconPositionY","IconPositionY","Position de l'icône Y","图标位置Y","IconPositionY","IconPositionY","图标位置Y",
STR_IconWidthTitle,"IconWidth","IconWidth","IconWidth","IconWidth","Ширина иконки","Szerokość ikony","IconWidth","IconWidth","IconWidth","Largeur de l'icône","图标宽度","IconWidth","IconWidth","图标宽度",
STR_IconHeightTitle,"IconHeight","IconHeight","IconHeight","IconHeight","Высота иконки","Wysokość ikony","IconHeight","IconHeight","IconHeight","Hauteur de l'icône","图标高度","IconHeight","IconHeight","图标高度",
STR_NotificationSizeTitle,"== Notification Settings ==","== Notification Settings ==","== Notification Settings ==","== Notification Settings ==","==Настройки уведомлений==","==Ustawienia powiadomień==","== Notification Settings ==","== Notification Settings ==","== Notification Settings ==","== Paramètres de notification ==","== 通知设置 ==","== Notification Settings ==","== Notification Settings ==","== 通知设置 ==",
STR_ExitNotificationPanelTitle,"Exit Notification Panel X, Y, W, H","Exit Notification Panel X, Y, W, H","Exit Notification Panel X, Y, W, H","Exit Notification Panel X, Y, W, H","Панель уведомления выхода:X,Y,W,H","Panel powiadomienia o wyjściu: X,Y,W,H","Exit Notification Panel X, Y, W, H","Exit Notification Panel X, Y, W, H","Exit Notification Panel X, Y, W, H","Panneau de notification de sortie X, Y, W, H","退出通知 面板X、Y、W、H","Exit Notification Panel X, Y, W, H","Exit Notification Panel X, Y, W, H","退出通知 面板X、Y、W、H",
STR_ExitNotificationText,"Exit Notification Text","Exit Notification Text","Exit Notification Text","Exit Notification Text","Текст уведомления о выходе","Tekst powiadomienia o wyjściu","Exit Notification Text","Exit Notification Text","Exit Notification Text","Texte de l'avis de sortie","退出通知文本","Exit Notification Text","Exit Notification Text","退出通知文本",
STR_ExitNotificationText0,"Enable Exit Notification","Enable Exit Notification","Enable Exit Notification","Enable Exit Notification","Включить уведомление о выходе","Włączyć powiadomienie o wyjściu","Enable Exit Notification","Enable Exit Notification","Enable Exit Notification","Activer la notif. de sortie","启用退出通知","Enable Exit Notification","Enable Exit Notification","启用退出通知",
STR_SafeZoneImagePathTitle,"SafeZone Image Path","SafeZone Image Path","SafeZone Image Path","SafeZone Image Path","Путь к иконке SafeZone","Ścieżka do ikony SafeZone","SafeZone Image Path","SafeZone Image Path","SafeZone Image Path","Chemin d'accès à l'image SafeZone","安全区图像路径","SafeZone Image Path","SafeZone Image Path","安全区图像路径",
STR_BlockedNotificationText,"Enable Notification for PvP to PvE player Damage","Enable Notification for PvP to PvE player Damage","Enable Notification for PvP to PvE player Damage","Enable Notification for PvP to PvE player Damage","Уведомление о PvP уроне для PvE игроков","Powiadomienie o obrażeniach PvP dla graczy PvE","Enable Notification for PvP to PvE player Damage","Enable Notification for PvP to PvE player Damage","Enable Notification for PvP to PvE player Damage","Activer la notification pour les dommages joueurs PvP à PvE","启用PvP对PvE玩家伤害通知","Enable Notification for PvP to PvE player Damage","Enable Notification for PvP to PvE player Damage","启用PvP对PvE玩家伤害通知",
STR_btnGeneralApply5,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","保存应用","Save and Reload","Save and Reload","保存应用",
STR_LockpickTitle,"== Lockpick ==","== Lockpick ==","== Lockpick ==","== Lockpick ==","== Отмычка ==","== Wytrych ==","== Lockpick ==","== Lockpick ==","== Lockpick ==","== Lockpick ==","== 撬锁 ==","== Lockpick ==","== Lockpick ==","== 撬锁 ==",
STR_OnlyAllowLockPickInPvPTitle,"Only Allow LockPick In PvP","Only Allow LockPick In PvP","Only Allow LockPick In PvP","Only Allow LockPick In PvP","Разрешить использовать отмычку только в PvP","Zezwolić na użycie wytrycha tylko w PvP","Only Allow LockPick In PvP","Only Allow LockPick In PvP","Only Allow LockPick In PvP","N'autoriser le crochetage qu'en PvP","仅允许在PvP中使用LockPick","Only Allow LockPick In PvP","Only Allow LockPick In PvP","仅允许在PvP中使用LockPick",
STR_EnableLockpickingZoneCreationTitle,"Enable Zone Creation","Enable Zone Creation","Enable Zone Creation","Enable Zone Creation","Включить создание зоны","Włączyć tworzenie strefy","Enable Zone Creation","Enable Zone Creation","Enable Zone Creation","Activer la création de zones","启用区域创建","Enable Zone Creation","Enable Zone Creation","启用区域创建",
STR_LockPickZoneDeletionTimeTitle,"Zone Deletion Time (sec)","Zone Deletion Time (sec)","Zone Deletion Time (sec)","Zone Deletion Time (sec)","Время удаления зоны (сек.)","Czas usunięcia strefy (sek.)","Zone Deletion Time (sec)","Zone Deletion Time (sec)","Zone Deletion Time (sec)","Temps de suppression de la zone (secs)","区域删除时间（秒）","Zone Deletion Time (sec)","Zone Deletion Time (sec)","区域删除时间（秒）",
STR_LockpickingZoneRadiusTitle,"Zone Radius","Zone Radius","Zone Radius","Zone Radius","Радиус зоны","Promień strefy","Zone Radius","Zone Radius","Zone Radius","Rayon de la zone","区域半径","Zone Radius","Zone Radius","区域半径",
STR_EnableLockpickingNotificationTitle,"Lockpicking Notification","Lockpicking Notification","Lockpicking Notification","Lockpicking Notification","Уведомление о взломе","Powiadomienie o włamaniu","Lockpicking Notification","Lockpicking Notification","Lockpicking Notification","Notification de crochetage","撬锁通知","Lockpicking Notification","Lockpicking Notification","撬锁通知",
STR_LockpickNotificationBroadcastRadiusTitle,"Notification Broadcast Radius","Notification Broadcast Radius","Notification Broadcast Radius","Notification Broadcast Radius","Радиус распространения уведомления","Promień rozprzestrzeniania powiadomienia","Notification Broadcast Radius","Notification Broadcast Radius","Notification Broadcast Radius","Notif. Rayon de diffusion","通知.广播半径","Notification Broadcast Radius","Notification Broadcast Radius","通知.广播半径",
STR_LockpickNotificationIconPathTitle,"Notiffication Icon Path","Notiffication Icon Path","Notiffication Icon Path","Notiffication Icon Path","Путь к иконке уведомления","Ścieżka do ikony powiadomienia","Notiffication Icon Path","Notiffication Icon Path","Notiffication Icon Path","Notif. Chemin de l'icône","通知.图标路径","Notiffication Icon Path","Notiffication Icon Path","通知.图标路径",
STR_LockpickNotificationTitleTitle,"Notification Title","Notification Title","Notification Title","Notification Title","Заголовок","Nagłówek","Notification Title","Notification Title","Notification Title","Notif. Titre","通知.标题","Notification Title","Notification Title","通知.标题",
STR_LockpickNotificationMessageTitle,"Notification Message","Notification Message","Notification Message","Notification Message","Сообщение","Wiadomość","Notification Message","Notification Message","Notification Message","Notif. Message","通知.消息","Notification Message","Notification Message","通知.消息",
STR_DefaultBorder,"is currently lockpicking a vehicle!","is currently lockpicking a vehicle!","is currently lockpicking a vehicle!","is currently lockpicking a vehicle!","в настоящее время взламывает замок автомобиля!","obecnie włamuje się do zamka samochodu!","is currently lockpicking a vehicle!","is currently lockpicking a vehicle!","is currently lockpicking a vehicle!","est en train de crocheter un véhicule !","目前正在开锁！","is currently lockpicking a vehicle!","is currently lockpicking a vehicle!","目前正在开锁！",
STR_LockpickNotificationColorTitle,"Notification Color","Notification Color","Notification Color","Notification Color","Цвет уведомления","Kolor powiadomienia","Notification Color","Notification Color","Notification Color","Notif. Couleur","通知.颜色","Notification Color","Notification Color","通知.颜色",
STR_btnGeneralApply2,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","保存应用","Save and Reload","Save and Reload","保存应用",
STR_ZoneEditTitle,"== Zone Editor ==","== Zone Editor ==","== Zone Editor ==","== Zone Editor ==","== Редактор зон ==","== Edytor stref==","== Zone Editor ==","== Zone Editor ==","== Zone Editor ==","== Éditeur de zone ==","== 区域编辑 ==","== Zone Editor ==","== Zone Editor ==","== 区域编辑 ==",
STR_AddZone,"Add Zone","Add Zone","Add Zone","Add Zone","Добавить зону","Dodaj strefę","Add Zone","Add Zone","Add Zone","Ajouter une zone","添加区域","Add Zone","Add Zone","添加区域",
STR_RemoveZone,"Remove Zone","Remove Zone","Remove Zone","Remove Zone","Удалить зону","Usuń strefę","Remove Zone","Remove Zone","Remove Zone","Supprimer la zone","删除区域","Remove Zone","Remove Zone","删除区域",
STR_CloseZoneEditBtn,"Close","Close","Close","Close","Закрыть","Zamknij","Close","Close","Close","Fermer","关闭","Close","Close","关闭",
STR_ZoneNameTitle,"Name:","Name:","Name:","Name:","Имя:","Nazwa:","Name:","Name:","Name:","Nom :","名字:","Name:","Name:","名字:",
STR_ZoneTypeTitle,"Type:","Type:","Type:","Type:","Тип:","Typ:","Type:","Type:","Type:","Type :","类型:","Type:","Type:","类型:",
STR_ZonePriorityTitle,"Priority:","Priority:","Priority:","Priority:","Приоритет:","Priorytet:","Priority:","Priority:","Priority:","Priorité :","优先级:","Priority:","Priority:","优先级:",
STR_ZoneEnableCustomMessagesTitle,"Enable Custom Messages","Enable Custom Messages","Enable Custom Messages","Enable Custom Messages","Вкл/Выкл уведомление","Włącz/Wyłącz powiadomienie","Enable Custom Messages","Enable Custom Messages","Enable Custom Messages","Activer les messages personnalisés","启用自定义消息","Enable Custom Messages","Enable Custom Messages","启用自定义消息",
STR_ZoneCustomTitleTitle,"Custom Title:","Custom Title:","Custom Title:","Custom Title:","Заголовок:","Nagłówek:","Custom Title:","Custom Title:","Custom Title:","Titre personnalisé :","自定义标题:","Custom Title:","Custom Title:","自定义标题:",
STR_ZoneCustomMessageEnterTitle,"Enter Message:","Enter Message:","Enter Message:","Enter Message:","Сообщение о входе:","Wiadomość o wejściu:","Enter Message:","Enter Message:","Enter Message:","Message d’entré :","进入消息:","Enter Message:","Enter Message:","进入消息:",
STR_ZoneCustomMessageExitTitle,"Exit Message:","Exit Message:","Exit Message:","Exit Message:","Сообщение о выходе:","Wiadomość o wyjściu:","Exit Message:","Exit Message:","Exit Message:","Message de sortie :","退出消息:","Exit Message:","Exit Message:","退出消息:",
STR_ZoneCustomIconTitle,"Icon Path:","Icon Path:","Icon Path:","Icon Path:","Путь к иконке:","Ścieżka do ikony:","Icon Path:","Icon Path:","Icon Path:","Chemin de l'icône :","图标路径:","Icon Path:","Icon Path:","图标路径:",
STR_ZoneNotificationColorTitle,"Notification Color:","Notification Color:","Notification Color:","Notification Color:","Цвет уведомления:","Kolor powiadomienia:","Notification Color:","Notification Color:","Notification Color:","Notification Couleur :","通知颜色:","Notification Color:","Notification Color:","通知颜色:",
STR_ZoneDaysTitle,"Active Days:","Active Days:","Active Days:","Active Days:","Активные дни:","Aktywne dni:","Active Days:","Active Days:","Active Days:","Jours d'activité :","激活日期:","Active Days:","Active Days:","激活日期:",
STR_ZoneStartHourTitle,"Start Hour:","Start Hour:","Start Hour:","Start Hour:","Час начала:","Godzina rozpoczęcia:","Start Hour:","Start Hour:","Start Hour:","Heure de début :","开始时间:","Start Hour:","Start Hour:","开始时间:",
STR_ZoneEndHourTitle,"End Hour:","End Hour:","End Hour:","End Hour:","Час окончания:","Godzina zakończenia:","End Hour:","End Hour:","End Hour:","Heure de fin :","结束时间:","End Hour:","End Hour:","结束时间:",
STR_ZoneForceFirstPersonTitle,"Force First Person:","Force First Person:","Force First Person:","Force First Person:","Вкл/Выкл вид 1-го лица","Włącz/Wyłącz widok pierwszej osoby","Force First Person:","Force First Person:","Force First Person:","Forcer première personne :","强制第一人称:","Force First Person:","Force First Person:","强制第一人称:",
STR_ZoneDrawShapeTitle,"Draw Shape:","Draw Shape:","Draw Shape:","Draw Shape:","Отображать зону на карте","Wyświetlać strefę na mapie","Draw Shape:","Draw Shape:","Draw Shape:","Dessinez la forme :","绘制形状:","Draw Shape:","Draw Shape:","绘制形状:",
STR_ZoneRadiusTitle,"Radius:","Radius:","Radius:","Radius:","Радиус:","Promień:","Radius:","Radius:","Radius:","Rayon :","半径:","Radius:","Radius:","半径:",
STR_ZoneAlphaTitle,"Alpha:","Alpha:","Alpha:","Alpha:","Прозрачность:","Przezroczystość:","Alpha:","Alpha:","Alpha:","Opacité :","Alpha:","Alpha:","Alpha:","Alpha:",
STR_ZoneRedTitle,"Red:","Red:","Red:","Red:","Красный:","Czerwony:","Red:","Red:","Red:","Rouge :","红:","Red:","Red:","红:",
STR_ZoneGreenTitle,"Green:","Green:","Green:","Green:","Зеленый:","Zielony:","Green:","Green:","Green:","Vert :","绿:","Green:","Green:","绿:",
STR_ZoneBlueTitle,"Blue:","Blue:","Blue:","Blue:","Синий:","Niebieski:","Blue:","Blue:","Blue:","Bleu:","蓝:","Blue:","Blue:","蓝:",
STR_ZoneCenterTitle,"Center (X, Y, Z):","Center (X, Y, Z):","Center (X, Y, Z):","Center (X, Y, Z):","Центральная точка (X,Y,Z):","Centralny punkt (X,Y,Z):","Center (X, Y, Z):","Center (X, Y, Z):","Center (X, Y, Z):","Centre (X, Y, Z):","居中 (X, Y, Z):","Center (X, Y, Z):","Center (X, Y, Z):","居中 (X, Y, Z):",
STR_ZoneNoVehicleTitle,"No Vehicle Zone","No Vehicle Zone","No Vehicle Zone","No Vehicle Zone","Зона, запрещённая для транспорта","Strefa zakazana dla transportu","No Vehicle Zone","No Vehicle Zone","No Vehicle Zone","Zone sans véhicules :","禁止车辆通行区","No Vehicle Zone","No Vehicle Zone","禁止车辆通行区",
STR_PlayerPosButton,"Set player position as coordinates","Set player position as coordinates","Set player position as coordinates","Set player position as coordinates","Установить координаты игрока","Ustawić współrzędne gracza","Set player position as coordinates","Set player position as coordinates","Set player position as coordinates","Relever la position du joueur (X, Y, Z) :","将玩家位置设置为坐标","Set player position as coordinates","Set player position as coordinates","将玩家位置设置为坐标",
STR_ShapeTypeTitle,"Zone Shape","Zone Shape","Zone Shape","Zone Shape","Форма зоны","Kształt strefy","Zone Shape","Zone Shape","Zone Shape","Forme de la zone","区域形状","Zone Shape","Zone Shape","区域形状",
STR_displayNameTitle,"Displayname","Displayname","Displayname","Displayname","Отображаемое имя","Wyświetlana nazwa","Displayname","Displayname","Displayname","Nom d'affichage :","显示名称","Displayname","Displayname","显示名称",
STR_SaveZone,"Save Zone","Save Zone","Save Zone","Save Zone","Сохранить зону","Zapisz strefę","Save Zone","Save Zone","Save Zone","Sauvegarder Zone","保存区域","Save Zone","Save Zone","保存区域",
STR_TitleBarText,"Ninjins Admin Menu","Ninjins Admin Menu","Ninjins Admin Menu","Ninjins Admin Menu","Меню","Menu","Ninjins Admin Menu","Ninjins Admin Menu","Ninjins Admin Menu","Menu Admin Ninjins","Ninjins Admin Menu","Ninjins Admin Menu","Ninjins Admin Menu","Ninjins Admin Menu",
STR_ReloadZones,"Reload Zones","Reload Zones","Reload Zones","Reload Zones","Обновить зоны","Aktualizuj strefy","Reload Zones","Reload Zones","Reload Zones","Recharger Zones","重载区域","Reload Zones","Reload Zones","重载区域",
STR_ReloadMainConfig,"Reload Main","Reload Main","Reload Main","Reload Main","Обн. осн.настройки","Aktualizuj podstawowe ustawienia","Reload Main","Reload Main","Reload Main","Recharger Menu","重载界面","Reload Main","Reload Main","重载界面",
STR_ReloadItemRules,"Reload Rules","Reload Rules","Reload Rules","Reload Rules","Обн. правила","Aktualizuj zasady","Reload Rules","Reload Rules","Reload Rules","Recharger Règles","重载规则","Reload Rules","Reload Rules","重载规则",
STR_ReloadAdmins,"Reload Admins","Reload Admins","Reload Admins","Reload Admins","Обн. админов","Aktualizuj administratorów","Reload Admins","Reload Admins","Reload Admins","Recharger Admins","重载管理","Reload Admins","Reload Admins","重载管理",
STR_ZoneEditBtn,"Zone Edit","Zone Edit","Zone Edit","Zone Edit","Ред. зоны","Edytuj strefy","Zone Edit","Zone Edit","Zone Edit","Édition de Zones","区域编辑","Zone Edit","Zone Edit","区域编辑",
STR_MainEdit,"Main Config Edit","Main Config Edit","Main Config Edit","Main Config Edit","Осн. настройки","Podstawowe ustawienia","Main Config Edit","Main Config Edit","Main Config Edit","Menu configuration","配置编辑","Main Config Edit","Main Config Edit","配置编辑",
STR_TitleBarText0,"== Reloading ==","== Reloading ==","== Reloading ==","== Reloading ==","==Обновление==","==Aktualizacja==","== Reloading ==","== Reloading ==","== Reloading ==","== Rechargement ==","== 重新加载 ==","== Reloading ==","== Reloading ==","== 重新加载 ==",
STR_Infoext1,"CTRL + Double click will teleport to position","CTRL + Double click will teleport to position","CTRL + Double click will teleport to position","CTRL + Double click will teleport to position","Телепортация: CTRL + двойной клик","Teleportacja: CTRL + podwójne kliknięcie","CTRL + Double click will teleport to position","CTRL + Double click will teleport to position","CTRL + Double click will teleport to position","CTRL + Double clic pour se téléporter à la position.","CTRL+双击将传送到位置","CTRL + Double click will teleport to position","CTRL + Double click will teleport to position","CTRL+双击将传送到位置",
STR_Infoext2,"Select Zone and Double click sets zone position in UI","Select Zone and Double click sets zone position in UI","Select Zone and Double click sets zone position in UI","Select Zone and Double click sets zone position in UI","Выбор зоны и двойной клик задают позицию в UI","Wybór strefy i podwójne kliknięcie ustalają pozycję w UI","Select Zone and Double click sets zone position in UI","Select Zone and Double click sets zone position in UI","Select Zone and Double click sets zone position in UI","Sélectionne la zone et double-click pour définir position zone dans l'IU.","选择区域，双击设置界面中的区域位置","Select Zone and Double click sets zone position in UI","Select Zone and Double click sets zone position in UI","选择区域，双击设置界面中的区域位置",
STR_RaidlTitle,"== Raid Settings ==","== Raid Settings ==","== Raid Settings ==","== Raid Settings ==","== Настройки рейда ==","== Ustawienia RAID ==","== Raid Settings ==","== Raid Settings ==","== Raid Settings ==","== Paramètres Raid ==","== 突袭设置 ==","== Raid Settings ==","== Raid Settings ==","== 突袭设置 ==",
STR_DisableRaidingDialogActionOnFlagPoleTitle,"Disable Raiding Action on Flagpoles","Disable Raiding Action on Flagpoles","Disable Raiding Action on Flagpoles","Disable Raiding Action on Flagpoles","Отключить возможность рейда на флагштоках","Wyłączyć możliwość RAID na masztach flagowych","Disable Raiding Action on Flagpoles","Disable Raiding Action on Flagpoles","Disable Raiding Action on Flagpoles","Désactiver l'action de Raid sur les mâts de drapeau","禁用旗杆上的突袭动作","Disable Raiding Action on Flagpoles","Disable Raiding Action on Flagpoles","禁用旗杆上的突袭动作",
STR_AllowAnyPlayerInRaidZoneTitle,"Allow any Player In Raid Zone","Allow any Player In Raid Zone","Allow any Player In Raid Zone","Allow any Player In Raid Zone","Разрешить доступ любого игрока к рейдовым зонам","Zezwolić na dostęp dowolnego gracza do stref RAID","Allow any Player In Raid Zone","Allow any Player In Raid Zone","Allow any Player In Raid Zone","Autoriser tout joueur dans la zone de Raid","允许任何玩家进入突袭区域","Allow any Player In Raid Zone","Allow any Player In Raid Zone","允许任何玩家进入突袭区域",
STR_btnGeneralApply6,"Save and Reload","Save and Reload","Save and Reload","Save and Reload","Сохранить и перезагрузить","Zapisz i uruchom ponownie","Save and Reload","Save and Reload","Save and Reload","Sauvegarder et Recharger","保存应用","Save and Reload","Save and Reload","保存应用",
STR_WarningText,"Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Внимание: Половина времени прошла! Покиньте зону на технике!","Uwaga: Połowa czasu minęła! Opuść strefę pojazdem!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","Avertissement : La mi-temps est terminée, sortez de la zone avec le véhicule !","警告：已过一半时间，请带着车辆离开安全区！","Warning: Half time over, exit the Zone with Vehicle!","Warning: Half time over, exit the Zone with Vehicle!","警告：已过一半时间，请带着车辆离开安全区！",
STR_EnableContaminatedZoneCreationTitle,"Enable Dynamic Contaminated Area Zone Creation","Enable Dynamic Contaminated Area Zone Creation","Enable Dynamic Contaminated Area Zone Creation","Enable Dynamic Contaminated Area Zone Creation","Включить динамическое создание заражённых зон","Włączyć dynamiczne tworzenie zakażonych stref","Enable Dynamic Contaminated Area Zone Creation","Enable Dynamic Contaminated Area Zone Creation","Enable Dynamic Contaminated Area Zone Creation","Activer la création dynamique de zones contaminées","启用动态污染区创建功能","Enable Dynamic Contaminated Area Zone Creation","Enable Dynamic Contaminated Area Zone Creation","启用动态污染区创建功能",
STR_NoVehicleZoneExitBlockDelayMSTitle,"Block Exit Vehicle after xx (ms)","Block Exit Vehicle after xx (ms)","Block Exit Vehicle after xx (ms)","Block Exit Vehicle after xx (ms)","Ограничить выход из транспортного средства (xx мс)","Ograniczyć wyjście z pojazdu (xx ms)","Block Exit Vehicle after xx (ms)","Block Exit Vehicle after xx (ms)","Block Exit Vehicle after xx (ms)","Blocage Sortie Véhicule après xx (ms)","延迟多少毫秒后禁止离开载具","Block Exit Vehicle after xx (ms)","Block Exit Vehicle after xx (ms)","延迟多少毫秒后禁止离开载具",
STR_StrikeLineSpacingMetersTitle,"Meters between Strike Lines","Meters between Strike Lines","Meters between Strike Lines","Meters between Strike Lines","Расстояние между штриховыми линиями","Odległość między liniami przerywanymi","Meters between Strike Lines","Meters between Strike Lines","Meters between Strike Lines","Mètres entre les hachures","线条间隔米数","Meters between Strike Lines","Meters between Strike Lines","线条间隔米数",
STR_drawStrikeZoneTitle,"Draw Strike Lines","Draw Strike Lines","Draw Strike Lines","Draw Strike Lines","Вкл/Выкл штриховые линии","Włącz/Wyłącz linie przerywane","Draw Strike Lines","Draw Strike Lines","Draw Strike Lines","Tracer les hachures :","绘制线条","Draw Strike Lines","Draw Strike Lines","绘制线条",
STR_EnableExpansion3DMarker,"Enable Expansion 3D Marker","Enable Expansion 3D Marker","Enable Expansion 3D Marker","Enable Expansion 3D Marker","Включить 3D Маркер Expansion","Włączyć 3D znacznik Expansion","Enable Expansion 3D Marker","Enable Expansion 3D Marker","Enable Expansion 3D Marker","Activation des marqueurs 3D Expansion","启用Expansion 3D标记","Enable Expansion 3D Marker","Enable Expansion 3D Marker","启用Expansion 3D标记",
STR_ExpansionMarkerName,"Expansion Marker Name","Expansion Marker Name","Expansion Marker Name","Expansion Marker Name","Expansion Название Маркера","Expansion Nazwa znacznika","Expansion Marker Name","Expansion Marker Name","Expansion Marker Name","Nom du marqueur Expansion","Expansion 标记名称","Expansion Marker Name","Expansion Marker Name","Expansion 标记名称",
